,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Arraial Do Cabo,BR,-22.9661,-42.0278,67.14,77,100,15.68,overcast clouds
153,Valparaiso,CL,-33.0393,-71.6273,57.99,93,75,10.36,mist
154,Iberia,US,29.9502,-91.7507,63.05,63,0,7.0,clear sky
155,Bengbu,CN,32.9408,117.3608,96.28,37,66,11.01,broken clouds
156,Darab,IR,28.7519,54.5444,85.12,9,0,0.54,clear sky
157,Jumla,NP,29.2747,82.1838,71.53,43,11,5.5,few clouds
158,Kruisfontein,ZA,-34.0033,24.7314,58.89,66,44,10.6,scattered clouds
159,Buenos Aires,AR,-34.6132,-58.3772,60.53,88,0,8.05,clear sky
160,Cabo San Lucas,MX,22.8909,-109.9124,82.51,79,37,4.0,scattered clouds
161,Bilibino,RU,68.0546,166.4372,30.0,77,100,1.07,overcast clouds
162,Charters Towers,AU,-20.1,146.2667,83.8,28,85,4.9,overcast clouds
163,Atkinson,US,42.8384,-71.147,49.28,89,0,0.0,clear sky
164,Kabelvag,NO,68.2114,14.4817,39.22,71,16,10.16,few clouds
165,Moron,AR,-34.6534,-58.6198,60.55,90,1,3.51,clear sky
166,Zhangye,CN,38.9342,100.4517,71.74,20,0,15.52,clear sky
167,Camargo,MX,27.6667,-105.1667,66.63,60,66,1.77,broken clouds
168,Shu,KZ,43.5983,73.7614,54.95,20,16,8.05,few clouds
169,Bajil,YE,15.0584,43.2851,90.61,47,73,3.02,broken clouds
170,Kodiak,US,57.79,-152.4072,42.31,87,75,4.61,broken clouds
171,Ust-Ilimsk,RU,58.0006,102.6619,33.24,58,100,8.05,overcast clouds
172,Nanortalik,GL,60.1432,-45.2371,41.07,95,100,6.78,light rain
173,Bonavista,CA,48.6499,-53.1147,51.62,74,6,17.27,clear sky
174,Yavatmal,IN,20.4,78.1333,86.07,56,26,9.8,scattered clouds
175,Castro,BR,-24.7911,-50.0119,53.6,99,99,2.33,overcast clouds
176,Limon,CR,10.0,-83.0333,75.06,85,100,4.7,overcast clouds
177,Shamary,RU,57.3434,58.2199,40.44,63,69,4.79,broken clouds
178,Bolobo,CD,-2.1667,16.2333,75.69,78,38,1.48,scattered clouds
179,Sabzevar,IR,36.2126,57.6819,74.48,38,0,16.11,clear sky
180,Soure,BR,-0.7167,-48.5233,79.18,78,35,9.24,scattered clouds
181,Okato,NZ,-39.2,173.8833,56.91,100,100,13.22,moderate rain
182,Potsdam,DE,52.3989,13.0657,50.49,93,80,10.11,broken clouds
183,Port Elizabeth,ZA,-33.918,25.5701,62.31,89,0,16.11,clear sky
184,Kedrovyy,RU,56.1667,91.8167,32.41,76,100,10.16,light snow
185,Cobija,BO,-11.0267,-68.7692,68.77,82,10,2.93,clear sky
186,Karaton,ID,-6.3424,106.1045,88.11,57,100,4.47,overcast clouds
187,Namatanai,PG,-3.6667,152.4333,83.43,70,83,10.65,broken clouds
188,Nikolskoye,RU,59.7035,30.7861,42.78,92,40,4.9,scattered clouds
189,Biloela,AU,-24.4167,150.5,80.04,28,97,5.08,overcast clouds
190,Asau,RO,46.4333,26.4,54.52,63,67,3.31,broken clouds
