City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Sangar,RU,2022-09-30 16:30:31,63.9242,127.4739,22.57,94,41,4.94
139,Nanortalik,GL,2022-09-30 16:30:31,60.1432,-45.2371,39.27,76,41,10.83
140,Buraydah,SA,2022-09-30 16:31:31,26.326,43.975,86.45,12,0,7.56
141,Klaksvik,FO,2022-09-30 16:31:32,62.2266,-6.589,49.12,88,100,41.7
142,Mar Del Plata,AR,2022-09-30 16:28:21,-38.0023,-57.5575,62.62,78,20,11.5
143,Camargo,MX,2022-09-30 16:31:32,27.6667,-105.1667,75.36,33,40,8.21
144,Bredasdorp,ZA,2022-09-30 16:31:33,-34.5322,20.0403,57.56,76,97,10.22
145,Saint Andrews,US,2022-09-30 16:31:33,34.0454,-81.1293,58.59,80,100,17.27
146,Sao Joao Da Barra,BR,2022-09-30 16:31:02,-21.6403,-41.0511,73.49,69,94,10.4
147,Kuytun,RU,2022-09-30 16:31:33,54.3419,101.5036,29.39,80,94,16.33
148,Clyde River,CA,2022-09-30 16:31:34,70.4692,-68.5914,28.63,86,75,20.71
149,Lamu,KE,2022-09-30 16:31:34,-2.2717,40.902,77.22,79,25,11.34
150,Tabas,IR,2022-09-30 16:31:35,33.5959,56.9244,88.02,10,0,4.61
151,Saint George,US,2022-09-30 16:28:46,37.1041,-113.5841,79.43,42,0,1.99
152,Belle Fourche,US,2022-09-30 16:31:35,44.6714,-103.8522,77.09,35,73,11.88
153,Bellevue,US,2022-09-30 16:31:35,47.6104,-122.2007,58.87,86,100,11.5
154,Chapais,CA,2022-09-30 16:23:05,49.7834,-74.8492,55.18,42,82,12.26
155,Chuy,UY,2022-09-30 16:31:36,-33.6971,-53.4616,62.31,61,93,9.75
156,Cockburn Town,TC,2022-09-30 16:31:37,21.4612,-71.1419,82.4,70,58,11.77
157,Viedma,AR,2022-09-30 16:31:37,-40.8135,-62.9967,76.87,26,92,15.03
158,Harper,LR,2022-09-30 16:24:26,4.375,-7.7169,80.42,71,37,9.24
159,Solnechnyy,RU,2022-09-30 16:31:38,50.7214,136.6319,42.64,84,100,4.99
160,Longyearbyen,SJ,2022-09-30 16:31:38,78.2186,15.6401,39.04,93,100,0.0
161,Bere,TD,2022-09-30 16:31:38,9.3202,16.1552,80.2,72,58,1.41
162,Papara,BR,2022-09-30 16:31:39,-3.9839,-38.7273,86.4,38,23,14.81
163,Katsuura,JP,2022-09-30 16:31:39,35.1333,140.3,71.98,85,40,11.32
164,Rafraf,TN,2022-09-30 16:31:39,37.1904,10.1837,80.91,71,99,16.98
165,Salto,UY,2022-09-30 16:30:46,-31.3833,-57.9667,69.96,53,75,8.05
166,Nabire,ID,2022-09-30 16:31:40,-3.3667,135.4833,74.57,92,93,2.86
167,Pinar Del Rio,CU,2022-09-30 16:31:40,22.4175,-83.6981,84.94,58,48,9.98
168,Meulaboh,ID,2022-09-30 16:31:40,4.1363,96.1285,76.08,88,100,6.91
169,Shatsk,RU,2022-09-30 16:31:41,54.0258,41.7119,56.73,88,100,8.79
170,Caravelas,BR,2022-09-30 16:28:23,-17.7125,-39.2481,79.29,63,67,11.45
171,Sinnamary,GF,2022-09-30 16:31:41,5.3833,-52.95,86.61,61,13,13.42
172,Souillac,MU,2022-09-30 16:31:42,-20.5167,57.5167,71.98,73,75,5.75
173,Suluktu,KG,2022-09-30 16:31:42,39.9337,69.57,56.68,31,98,3.94
174,Kiama,AU,2022-09-30 16:31:42,-34.6833,150.8667,59.0,92,96,1.01
175,Mount Isa,AU,2022-09-30 16:31:43,-20.7333,139.5,71.37,33,99,10.36
176,Nelson Bay,AU,2022-09-30 16:21:48,-32.7167,152.15,60.12,74,97,14.0
177,Aklavik,CA,2022-09-30 16:31:43,68.2191,-135.0107,29.14,92,97,6.89
178,Ravar,IR,2022-09-30 16:31:44,31.2656,56.8055,79.09,8,0,7.09
179,La Asuncion,VE,2022-09-30 16:31:44,11.0333,-63.8628,87.53,70,60,16.11
180,Codrington,AU,2022-09-30 16:31:44,-38.2667,141.9667,43.65,96,61,7.78
181,Hirara,JP,2022-09-30 16:31:44,24.8,125.2833,82.11,74,4,9.98
182,Pevek,RU,2022-09-30 16:31:45,69.7008,170.3133,29.68,77,100,6.87
183,Utete,TZ,2022-09-30 16:31:45,-7.986,38.758,74.39,70,54,7.18
184,Bengkulu,ID,2022-09-30 16:31:46,-3.8004,102.2655,76.05,91,49,3.49
185,Ariguani,CO,2022-09-30 16:31:46,10.25,-74.0,86.41,61,100,5.26
186,Pechory,RU,2022-09-30 16:32:47,57.8164,27.6119,51.26,72,98,6.08
187,Saint-Georges,GD,2022-09-30 16:32:47,12.0564,-61.7485,87.48,74,20,20.71
188,Maumere,ID,2022-09-30 16:32:48,-8.6199,122.2111,80.47,79,100,3.47
189,Gravdal,NO,2022-09-30 16:32:48,68.1214,13.5031,49.89,62,0,4.61
190,Hualmay,PE,2022-09-30 16:32:49,-11.0964,-77.6139,66.11,71,72,9.98
191,Wahiawa,US,2022-09-30 16:32:49,21.5028,-158.0236,73.18,84,1,3.42
192,Tessalit,ML,2022-09-30 16:32:49,20.1986,1.0114,102.52,13,40,9.17
193,Lagoa,PT,2022-09-30 16:32:50,39.05,-27.9833,68.36,66,3,5.06
194,Pauini,BR,2022-09-30 16:32:50,-7.7136,-66.9764,95.72,36,83,3.74
