City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
413,Melito Di Porto Salvo,IT,75.22,broken clouds,37.9222,15.7714,B&B Nereidi
414,Yatou,CN,73.06,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
415,Erzin,TR,82.6,clear sky,36.9559,36.2,Artemis Otel
416,Pangai,TO,76.71,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
417,Nizwa,OM,88.52,clear sky,22.9333,57.5333,Orient Apartments
418,Piacabucu,BR,71.55,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
419,Maceio,BR,71.04,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
422,Gerash,IR,85.15,clear sky,27.6652,54.1371,Sa'adat House Gerash
424,Erenhot,CN,83.88,few clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
427,Bambanglipuro,ID,81.14,overcast clouds,-7.95,110.2833,Puri Brata
428,Banda Aceh,ID,84.54,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
430,Tuy Hoa,VN,84.02,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
431,Palu,ID,89.35,scattered clouds,-0.8917,119.8707,Hotel Santika Palu
432,Oranjestad,AW,83.01,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
433,Arlit,NE,86.29,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
439,Santo Tomas,PH,89.56,heavy intensity rain,14.1079,121.1414,Microtel by Wyndham Batangas
441,Buchanan,LR,75.07,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
443,Alta Floresta,BR,77.41,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
452,Turayf,SA,78.3,clear sky,31.6725,38.6637,Al Mudawah Hotel
460,Wajid,SO,80.83,clear sky,3.8093,43.2471,xamdihotelresturant114
461,Kulhudhuffushi,MV,81.16,overcast clouds,6.6221,73.07,Haajy Guest House 1
463,Ampanihy,MG,83.79,clear sky,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
464,Marsh Harbour,BS,80.83,broken clouds,26.5412,-77.0636,Abaco Beach Resort
465,Sao Filipe,CV,78.98,few clouds,14.8961,-24.4956,Hotel Xaguate
466,Jinxiang,CN,83.66,clear sky,27.4327,120.6062,Wolong Village
469,Danjiangkou,CN,86.09,overcast clouds,32.5428,111.5086,Dongsheng Guesthouse
470,Multan,PK,89.49,smoke,30.1956,71.4753,Hotel B R Lounge
474,Henderson,US,84.15,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
475,Pokhara,NP,82.11,few clouds,28.2333,83.9833,OYO 170 Hotel View Point
477,Pringsewu,ID,89.98,broken clouds,-5.3582,104.9744,Urban Style by Front One
480,Asifabad,IN,86.79,broken clouds,19.3667,79.2833,సిడం కైలాష్
482,Nola,IT,74.37,broken clouds,40.922,14.5329,Palazzo Giordano Bruno
484,Naze,JP,78.12,clear sky,28.3667,129.4833,Shishime Hotel
485,Linxia,CN,75.22,few clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
488,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
489,Galle,LK,81.81,overcast clouds,6.0367,80.217,Amangalla
