City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
581,Ankazoabo,MG,86.68,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
582,Kushima,JP,80.19,scattered clouds,31.4583,131.2333,Hanaoka
583,Conakry,GN,76.1,overcast clouds,9.538,-13.6773,Riviera Royal Hotel
584,Majene,ID,84.83,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
585,Bulawayo,ZW,72.73,clear sky,-20.15,28.5833,4 On Housman Backpackers
588,Pa Sang,TH,80.8,overcast clouds,18.5262,98.9394,โรงแรม จามจุรี 99
589,Inhambane,MZ,76.28,clear sky,-23.865,35.3833,Oceano
591,Jiangyou,CN,72.39,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
592,Karratha,AU,80.22,clear sky,-20.7377,116.8463,ibis Styles Karratha
594,Morondava,MG,76.66,clear sky,-20.2833,44.2833,La Case Bambou
597,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
599,Kudahuvadhoo,MV,81.5,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
602,Curup,ID,77.49,overcast clouds,-3.4667,102.5333,Ayi The Costel
603,Kirakira,SB,82.51,few clouds,-10.4544,161.9205,SanBiz Lodge
606,Tual,ID,83.08,broken clouds,-5.6667,132.75,Grand Vilia Hotel
609,Le Vauclin,MQ,83.84,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
610,Kadirli,TR,83.57,clear sky,37.3739,36.0961,Karatepe Park Otel
611,Beneditinos,BR,75.87,overcast clouds,-5.45,-42.3667,"Pousada, Pesque-Pague e Churrascaria Cabo Miguel"
612,Port Blair,IN,78.84,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
613,Gonaives,HT,76.5,broken clouds,19.45,-72.6833,Vertières Doux Séjour
614,El Cristo,PA,75.15,overcast clouds,8.25,-80.6167,cocobó abajo
615,Portobelo,PA,76.05,overcast clouds,9.55,-79.65,Scuba Portobelo
618,Chum Phae,TH,79.36,overcast clouds,16.5443,102.0992,Major Grand
619,Nanyamba,TZ,81.07,scattered clouds,-10.6833,39.8333,Busati Lodge Nanyamba
620,Migori,KE,73.24,broken clouds,-1.0634,34.4731,"Calabash Hotel, Migori"
621,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
627,Carutapera,BR,77.47,scattered clouds,-1.195,-46.02,Lidera
628,Port Saint Lucie,US,76.96,broken clouds,27.2939,-80.3503,Best Western Port St. Lucie
631,Samarai,PG,83.37,clear sky,-10.6167,150.6667,Nuli Sapi
634,Kamalapuram,IN,80.47,light intensity drizzle,14.5833,78.65,Arya visha hotel
635,Veraval,IN,84.06,clear sky,20.9,70.3667,Lords Inn Somnath
640,Tera,NE,79.92,overcast clouds,14.0078,0.7531,Hotel Daressalam Téra
644,Laguna,US,73.94,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
646,Vangaindrano,MG,73.36,scattered clouds,-23.35,47.6,Hotel Fanilo
650,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
651,Tautira,PF,77.02,clear sky,-17.7333,-149.15,Pension Oaoa
652,Nishihara,JP,87.08,broken clouds,26.1842,127.7558,Minshuku Agaihama
653,Tura,IN,89.04,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
654,Acarau,BR,77.4,broken clouds,-2.8856,-40.12,castelo pizzaria
656,Emerald,AU,81.34,broken clouds,-23.5333,148.1667,The Irish Village
659,Kattivakkam,IN,89.69,overcast clouds,13.2167,80.3167,Euronova Freezer
661,Bintulu,MY,85.05,broken clouds,3.1667,113.0333,900 Boutique INN
663,Moranbah,AU,80.83,overcast clouds,-22.0016,148.0466,Property Vine - Monterey Moranbah
666,Pauini,BR,72.16,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
672,Mitsamiouli,KM,75.9,few clouds,-11.3847,43.2844,Foyer ADM
674,Shancheng,CN,89.29,broken clouds,34.7953,116.0817,Shanxian Golden Dragon Hotel
675,Topolobampo,MX,82.4,clear sky,25.6,-109.05,Hotel Marina Topolobampo
678,Kigoma,TZ,80.44,scattered clouds,-4.8769,29.6267,MJI Mwema Lodge
687,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
690,Dharchula,IN,80.6,few clouds,29.85,80.5333,Mahara Hotel
697,Matay,EG,87.67,clear sky,28.419,30.7792,Nag Aespen
698,Sao Felix Do Xingu,BR,77.02,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
